Feat1,Feat2,Feat3,RMSE,MAE,MAPE_pct,R2
PeakToPeak,Duration_s,ZeroCrossRate_Hz,57.3537588310894,43.7995376452246,17.4353081661996,0.523590367663267
PeakToPeak,Duration_s,Crest,58.6800513971162,44.3509390960624,17.0734996286573,0.50130187745417
PeakToPeak,Duration_s,SpectralCentroid_Hz,58.8140386463957,48.3492606400062,19.9007416730811,0.499021870059696
TotalEnergy,Duration_s,Crest,62.0403090145842,48.7014274619507,20.7157400825926,0.442551608415365
BandE_5k_10k,PeakToPeak,Duration_s,62.6015701250798,48.8923608185944,18.6974399864901,0.432419829576354
PeakToPeak,BandE_0k_5k,Duration_s,62.666429525426,48.419471573275,18.7397552429642,0.431243118521255
PeakAmp,PeakToPeak,Duration_s,65.0555848708038,49.2233884969691,18.819005803013,0.387048752263852
PeakAmp,BandE_0k_5k,ZeroCrossRate_Hz,65.1120179301262,54.0573106344517,20.1291262651474,0.385984870747487
PeakAmp,PeakToPeak,ZeroCrossRate_Hz,65.1303506006568,52.556440663536,20.1393683549807,0.385639062950546
PeakAmp,TotalEnergy,Duration_s,65.1304843054064,55.7431823599504,22.7522157278274,0.385636540530236
PeakToPeak,Duration_s,MainFreq_Hz,65.3985673609532,51.4578047704644,19.8216096257196,0.380568578998956
PeakAmp,Duration_s,ZeroCrossRate_Hz,65.6646651849069,56.4845728866975,21.7916842112739,0.37551756048505
TotalEnergy,Duration_s,MainFreq_Hz,66.5783336302862,55.4782719714162,23.1842445914001,0.358018365215401
PeakAmp,BandE_5k_10k,ZeroCrossRate_Hz,67.2033392575085,57.0588914437357,22.1249700498107,0.345908555696848
BandE_5k_10k,Duration_s,Crest,67.6551477566196,52.1800105364161,20.564890517332,0.33708406923026
TotalEnergy,PeakToPeak,Duration_s,67.9176684008915,53.252686214829,20.5796288894061,0.331929494492735
BandE_0k_5k,Duration_s,Crest,68.2327027430253,55.1340100040016,22.4417082494685,0.325717465259656
PeakAmp,Duration_s,Crest,69.2056550639598,59.2262085647687,23.4166288965706,0.306350736155863
PeakAmp,BandE_5k_10k,TotalEnergy,69.3176455716489,58.1784443260993,23.2581761551648,0.304103954824656
BandE_5k_10k,Duration_s,SpectralCentroid_Hz,69.3444946123109,56.9025844783822,22.8817777480942,0.30356476283233
BandE_5k_10k,MainFreq_Hz,ZeroCrossRate_Hz,69.5225778967216,61.7211738824968,24.4622150414603,0.299983145368059
BandE_5k_10k,Duration_s,ZeroCrossRate_Hz,69.536907771322,58.9737533343508,23.847098886694,0.299694543079402
PeakAmp,TotalEnergy,BandE_0k_5k,69.6017826403869,58.9752236565846,23.428721182969,0.29838722529921
TotalEnergy,BandE_0k_5k,Duration_s,69.6982831243425,60.437734355882,24.6565820732928,0.296440352511135
TotalEnergy,Duration_s,ZeroCrossRate_Hz,69.7014907177343,55.9075337152677,24.003683296526,0.296375593808235
PeakAmp,BandE_0k_5k,MainFreq_Hz,69.8940586539971,60.4420910017587,23.8640656710863,0.292482343645517
PeakAmp,PeakToPeak,BandE_0k_5k,70.1590577163484,58.1465385779349,23.2078282939212,0.287107152950516
PeakAmp,PeakToPeak,SpectralCentroid_Hz,70.4400169352729,57.3186713789718,21.990240570707,0.281386013793487
BandE_5k_10k,BandE_0k_5k,Duration_s,70.5155104521492,60.3605576113063,24.1149095496107,0.279844850948016
BandE_5k_10k,TotalEnergy,Duration_s,70.6557203404633,60.247683311839,24.7782315541288,0.276978155171654
BandE_5k_10k,Duration_s,MainFreq_Hz,70.6870375991642,59.8676562325046,23.9595090581693,0.276337072463053
PeakAmp,TotalEnergy,SpectralCentroid_Hz,70.9582436110565,61.4904931934721,24.6154950434597,0.27077344316476
PeakAmp,ZeroCrossRate_Hz,Crest,71.0053617050643,60.1168004678905,23.3249223548535,0.269804671346528
BandE_5k_10k,TotalEnergy,ZeroCrossRate_Hz,71.2792420517123,58.6021125396137,23.2020378400568,0.264160820345754
PeakAmp,TotalEnergy,MainFreq_Hz,71.3011094636998,61.5204970258645,24.2857819163399,0.263709262044653
TotalEnergy,BandE_0k_5k,ZeroCrossRate_Hz,71.4794811618199,59.7448962354624,23.6092622459252,0.260020744249023
BandE_0k_5k,Duration_s,MainFreq_Hz,71.5247572268999,61.8566394835422,25.3031963633064,0.259083021726911
TotalEnergy,BandE_0k_5k,MainFreq_Hz,71.7159643921131,61.0362749015452,24.7625306078973,0.255116339364428
PeakAmp,MainFreq_Hz,Crest,71.7496553501492,58.1561949910338,23.4344195247507,0.254416307253906
PeakAmp,MainFreq_Hz,ZeroCrossRate_Hz,71.8505113589175,62.637466786638,23.7295887773081,0.252318751643012
